id_utilisateur,id_concert,id_groupe,note,commentaire
64,244,244,3,"Ngon bad, e no bam pass."
39,424,424,2,"Nyam yan mba, e no waya, e overrate."
694,474,474,5,Ambiance waya! Ngoma e bam well!
539,319,319,1,Nyam yan mba e bad waya.
324,214,214,4,"E waya diwe, e bam well well!"
849,904,904,3,"Ngon bad, e no get anything special."
669,289,289,2,"Nyam yan mba, e no waya, e no bam."
544,614,614,5,Ambiance waya! Ngoma e bam well!
814,414,414,4,"Super concert, une ambiance folle !"
674,569,569,3,"Moyenne, sans grande surprise."
374,374,374,2,"Pas terrible, je ne recommande pas."
614,574,574,5,"Fabuleux, une performance inoubliable !"
999,659,659,1,"Piètre prestation, à éviter."
964,149,149,4,"Génial, j'ai passé un moment génial !"
984,949,949,3,"Moyenne, sans grande originalité."
949,179,179,2,"Décevant, je m'attendais à mieux."
879,99,99,5,"Extraordinaire, un artiste hors du commun !"
639,634,634,1,"Pas du tout à mon goût, j'ai été déçu."
359,474,474,4,"Très bonne performance, une soirée mémorable !"
649,189,189,3,"Moyenne, sans grande surprise."
424,784,784,2,"Décevant, je n'ai pas accroché."
519,194,194,5,"Inoubliable, l'un des meilleurs concerts que j'ai vus !"
999,964,964,1,"Mauvaise prestation, je ne recommande pas."
379,404,404,5,"Très bon concert, une ambiance incroyable !"
554,929,929,3,"Mdrrr, c'était pas mal mais sans plus !"
689,149,149,2,"Bah nan, c'était pas ouf du tout !"
869,794,794,4,"Oh ptn c'était ouf, j'ai kiffé à mort !"
989,409,409,1,"Nan mais franchement c'était trop nul, j'suis dégoûté..."
199,609,609,5,"La grosse tuerie, l'artiste il a tout déchiré frère !"
154,504,504,3,"Pas mal le concert, ça passe tranquille quoi."
554,484,484,4,"Putain l'concert il était ouf, j'étais grave dedans !"
879,454,454,2,"Nan mais sérieux, j'suis déçu, c'était pas ouf du tout."
574,54,54,5,"Oulaïe, le concert il était oufissime, j'suis choqué !"
694,74,74,1,"Oh putain mais c'était la hess, j'suis dégoûté..."
684,144,144,4,"Trop bon le concert, j'ai kiffé à donf !"
819,474,474,3,"Pas mal, ça s'écoute, tranquille quoi !"
209,594,594,2,"Pfff, c'était nul, j'suis grave déçu..."
